Entity,Code,Year,"Upper secondary school age, female","Upper secondary school age, male","Lower secondary school age, female","Lower secondary school age, male","Primary school age, female","Primary school age, male"
Europe & Central Asia (all income levels),,1975,,,,,2119099,1795280
Europe & Central Asia (all income levels),,1976,,,,,1989957,1712627
Europe & Central Asia (all income levels),,1977,,,,,1956728,1661741
Europe & Central Asia (all income levels),,1978,,,,,1933838,1567910
Europe & Central Asia (all income levels),,1979,,,,,1871732,1507575
Europe & Central Asia (all income levels),,1980,,,,,1891539,1491860
Europe & Central Asia (all income levels),,1981,,,,,2046447,1622379
Europe & Central Asia (all income levels),,1982,,,,,2011003,1636673
Europe & Central Asia (all income levels),,1983,,,,,2048891,1729672
Europe & Central Asia (all income levels),,1984,,,,,1812197,1636968
Europe & Central Asia (all income levels),,1985,,,,,1813525,1624563
Europe & Central Asia (all income levels),,1986,,,,,1652828,1461142
Europe & Central Asia (all income levels),,1987,,,,,1586046,1369930
Europe & Central Asia (all income levels),,1988,,,,,1440250,1257150
Europe & Central Asia (all income levels),,1989,,,,,1505489,1319701
Europe & Central Asia (all income levels),,1990,,,,,1475151,1327767
Europe & Central Asia (all income levels),,1991,,,,,1366102,1222936
Europe & Central Asia (all income levels),,1992,,,,,1427778,1303770
Europe & Central Asia (all income levels),,1993,,,,,1543836,1325126
Europe & Central Asia (all income levels),,1994,,,,,1611313,1322543
Europe & Central Asia (all income levels),,1995,,,,,1659277,1440665
Europe & Central Asia (all income levels),,1996,,,,,1593866,1339715
Europe & Central Asia (all income levels),,1997,,,,,1540254,1271711
Europe & Central Asia (all income levels),,1998,4409453,4346127,2636885,2481555,1289075,1022352
Europe & Central Asia (all income levels),,1999,4034207,4019802,2522418,2414945,1163655,916851
Europe & Central Asia (all income levels),,2000,3991803,3971827,2159693,2100870,973582,809990
Europe & Central Asia (all income levels),,2001,3701265,3740045,1634119,1678416,741082,565251
Europe & Central Asia (all income levels),,2002,3477843,3510857,1305487,1324748,599874,425878
Europe & Central Asia (all income levels),,2003,3247760,3407813,1098292,1083046,667794,499045
Europe & Central Asia (all income levels),,2004,3147522,3406040,1393549,1455735,672664,526618
Europe & Central Asia (all income levels),,2005,2955292,3306742,1423450,1500605,859836,770506
Europe & Central Asia (all income levels),,2006,2794357,3174313,1206463,1268815,814528,743655
Europe & Central Asia (all income levels),,2007,2660905,3015814,1227257,1272898,772642,748730
Europe & Central Asia (all income levels),,2008,2455019,2787587,1196237,1207306,706674,667842
Europe & Central Asia (all income levels),,2009,2537998,2860231,1047365,1038430,716600,718205
Europe & Central Asia (all income levels),,2010,2341291,2469990,922408,924075,639105,652279
Europe & Central Asia (all income levels),,2011,2235665,2291241,839685,833695,623363,645155
Europe & Central Asia (all income levels),,2012,2275461,2393312,775341,782182,638992,673362
Europe & Central Asia (all income levels),,2013,1856751,1988203,701175,691054,622427,647670
Europe & Central Asia (all income levels),,2014,1763912,1867922,660637,643728,691112,731919
European Union,,1970,,,,,741287,891983
European Union,,1971,,,,,740748,893133
European Union,,1972,,,,,721763,875373
European Union,,1973,,,,,757445,901652
European Union,,1974,,,,,719546,825706
European Union,,1975,,,,,715197,813526
European Union,,1976,,,,,680278,804591
European Union,,1977,,,,,687442,803042
European Union,,1978,,,,,670308,767988
European Union,,1979,,,,,661693,751156
European Union,,1980,,,,,646442,724781
European Union,,1981,,,,,673548,746730
European Union,,1982,,,,,665071,739996
European Union,,1983,,,,,715627,804088
European Union,,1984,,,,,727279,807300
European Union,,1985,,,,,749749,832950
European Union,,1986,,,551130,564226,673183,733962
European Union,,1987,,,518928,496364,626192,698830
European Union,,1988,,,518710,498735,611520,681652
European Union,,1989,,,511352,485687,648918,716796
European Union,,1990,,,517123,493712,698651,756305
European Union,,1991,,,506222,483706,729012,802733
European Union,,1992,,,514772,495230,781541,856798
European Union,,1993,,,508388,481194,724991,763472
European Union,,1994,,,455861,399049,678059,653825
European Union,,1995,,,444645,402247,615102,595892
European Union,,1996,,,450717,412883,534852,518359
European Union,,1997,,,470840,440116,401290,409165
European Union,,1998,1830984,2165035,429165,409153,211884,226569
European Union,,1999,1581041,1901248,389689,413679,205528,225917
European Union,,2000,1558690,1825495,318514,376688,195239,221118
European Union,,2001,1411725,1723966,296344,366493,188750,206531
European Union,,2002,1256169,1525619,259091,328560,187329,203363
European Union,,2003,1196256,1547548,227010,281677,195376,202418
European Union,,2004,1089878,1473979,215229,242003,236922,250159
European Union,,2005,915057,1274245,188172,194264,245253,246234
European Union,,2006,885545,1231599,182390,198682,244150,252218
European Union,,2007,871693,1190230,253154,256309,238892,253755
European Union,,2008,769446,1024233,288957,274426,195933,199744
European Union,,2009,773476,982945,277489,269739,189345,202316
European Union,,2010,771346,917186,288029,288271,161032,179917
European Union,,2011,898022,1024352,317466,300074,169522,192519
European Union,,2012,916169,1021914,325768,314043,162674,193262
European Union,,2013,733873,816894,,,177147,195240
European Union,,2014,648628,723287,,,202346,207544
Fiji,FJI,1992,,,,,1816,1966
Fiji,FJI,1994,,,,,1568,1797
Fiji,FJI,1995,,,,,2270,2727
Fiji,FJI,1996,,,,,3797,3764
Fiji,FJI,1997,,,,,3564,3526
Fiji,FJI,1998,,,,,2918,3123
Fiji,FJI,1999,10978,13769,,,2955,3473
Fiji,FJI,2000,10717,13628,1482,2951,2800,3001
Fiji,FJI,2001,9524,11548,1477,2760,1043,1243
Fiji,FJI,2002,9294,12152,35,1793,,
Fiji,FJI,2003,3304,5058,5583,7207,51,680
Fiji,FJI,2004,6075,8808,,,325,525
Fiji,FJI,2006,6556,8859,,,220,622
Fiji,FJI,2007,7559,10798,,,,
Fiji,FJI,2009,7234,9843,,,171,416
Fiji,FJI,2011,5277,7554,,,,
Fiji,FJI,2012,5215,7300,,,,
Fiji,FJI,2013,,,,,780,2161
Finland,FIN,1993,,,,,2222,2135
Finland,FIN,1994,,,,,2225,2569
Finland,FIN,1995,,,,,2871,3159
Finland,FIN,1996,,,,,2267,3520
Finland,FIN,1997,,,,,2034,2381
Finland,FIN,1998,9168,13528,,,1004,471
Finland,FIN,1999,8745,10462,59,255,,
Finland,FIN,2000,6003,9013,2095,2284,,
Finland,FIN,2001,4966,6691,2948,3277,334,611
Finland,FIN,2002,5735,7563,1753,1869,862,982
Finland,FIN,2003,6883,7489,,,2392,2253
Finland,FIN,2004,8867,8718,,,4223,4045
Finland,FIN,2005,6981,6750,,,4632,5097
Finland,FIN,2006,5775,5277,,,5293,6361
Finland,FIN,2007,4301,4207,1078,1224,4424,5266
Finland,FIN,2008,5290,5809,1765,1942,4165,4219
Finland,FIN,2009,6134,7022,2570,2638,3952,4120
Finland,FIN,2010,7698,8525,2271,2198,3456,3690
Finland,FIN,2011,9172,9505,2161,2174,2896,3159
Finland,FIN,2012,9934,10235,2532,2496,1259,1594
Finland,FIN,2013,7585,7453,1644,1869,333,1089
Finland,FIN,2014,7370,7426,1674,956,196,1525
France,FRA,1971,,,,,40450,81083
France,FRA,1972,,,,,37486,80149
France,FRA,1982,,,,,28006,30606
France,FRA,1983,,,,,67701,82854
France,FRA,1985,,,,,76428,86926
France,FRA,1986,,,19503,52791,25497,25283
France,FRA,1992,,,,,7339,8282
France,FRA,1993,,,,,38281,39773
France,FRA,1994,,,,,44357,42970
France,FRA,1995,,,,,25802,23771
France,FRA,1996,,,10604,7087,5936,5058
France,FRA,1997,,,,,6515,10759
France,FRA,1999,47228,49109,38806,47201,3250,10415
France,FRA,2000,82215,85957,22988,33602,3497,12361
France,FRA,2001,96958,101214,9930,25648,3595,11084
France,FRA,2002,69509,77085,9775,23470,3425,11867
France,FRA,2003,60856,71784,3062,14255,7177,13787
France,FRA,2004,58893,72208,3627,11503,12868,21627
France,FRA,2005,11485,23821,,,9877,16256
France,FRA,2006,7411,18870,,,12937,16944
France,FRA,2007,2433,14405,,,13135,16499
France,FRA,2008,1344,10194,,,13763,18334
France,FRA,2009,13638,27795,,,11057,17790
France,FRA,2010,28343,40940,,,10704,17855
France,FRA,2011,30136,43144,,,10124,26957
France,FRA,2012,13296,18247,,,10181,31568
France,FRA,2013,3734,4673,,,7010,19053
France,FRA,2014,,,,,6756,15417
Gabon,GAB,1997,,,,,7884,7770
Gambia,GMB,1971,,,,,24831,20994
Gambia,GMB,1972,,,,,26316,22881
Gambia,GMB,1973,,,,,27470,23836
Gambia,GMB,1974,,,,,28836,25021
Gambia,GMB,1975,,,,,30209,25669
Gambia,GMB,1976,,,,,31690,25831
Gambia,GMB,1977,,,,,30691,23059
Gambia,GMB,1978,,,,,29744,21252
Gambia,GMB,1979,,,,,30756,20260
Gambia,GMB,1980,,,,,30675,18822
Gambia,GMB,1981,,,,,28602,14970
Gambia,GMB,1982,,,,,28657,13491
Gambia,GMB,1983,,,,,28281,12401
Gambia,GMB,1984,,,,,27827,12895
Gambia,GMB,1985,,,,,27777,12113
Gambia,GMB,1986,,,,,28867,13663
Gambia,GMB,1992,,,,,47762,35925
Gambia,GMB,1993,,,,,47034,34758
Gambia,GMB,1996,,,,,41441,29793
Gambia,GMB,1998,,,,,38451,28750
Gambia,GMB,1999,,,,,28360,18581
Gambia,GMB,2000,,,,,29921,22641
Gambia,GMB,2001,,,,,28337,23523
Gambia,GMB,2002,,,,,31249,26494
Gambia,GMB,2003,,,,,26109,25783
Gambia,GMB,2004,,,,,25306,28082
Gambia,GMB,2005,,,,,28529,33190
Gambia,GMB,2006,,,16525,15328,24254,29230
Gambia,GMB,2007,,,14341,13520,25079,31138
Gambia,GMB,2008,,,12478,12989,30975,38561
Gambia,GMB,2010,,,12143,13200,37779,42245
Gambia,GMB,2011,,,,,38583,44526
Gambia,GMB,2012,,,,,35872,43389
Gambia,GMB,2013,,,,,43426,50928
Gambia,GMB,2014,,,,,44729,54524
Georgia,GEO,1995,,,,,28880,27386
Georgia,GEO,1996,,,40978,30112,26681,29241
Georgia,GEO,1997,,,30908,26823,25716,24847
Georgia,GEO,1999,34829,27610,,,,
Georgia,GEO,2000,35253,27447,,,,
Georgia,GEO,2004,,,,,21412,14506
Georgia,GEO,2005,16422,19831,19365,13705,17719,14735
Georgia,GEO,2006,15616,21912,12187,9870,6851,9409
Georgia,GEO,2007,,,,,8644,5838
Georgia,GEO,2008,9423,7569,13528,8404,,
Georgia,GEO,2013,11923,12660,,,,
Georgia,GEO,2014,8245,10258,,,,
Ghana,GHA,1999,361802,294627,267114,224649,559193,548547
Ghana,GHA,2000,365819,303462,257319,217639,514939,508668
Ghana,GHA,2001,373525,317814,265619,235843,598372,607407
Ghana,GHA,2002,376208,310581,242497,208183,568915,583480
Ghana,GHA,2003,411989,369900,246685,228071,589650,618531
Ghana,GHA,2004,357274,284872,237182,156388,627559,663839
Ghana,GHA,2005,393309,327710,178266,138982,536072,549818
Ghana,GHA,2006,338073,251099,133391,121908,540734,573637
Ghana,GHA,2007,223996,126422,166765,167502,449966,470828
Ghana,GHA,2008,245765,150111,149520,147156,364546,385757
Ghana,GHA,2009,259383,177562,150460,146228,399206,416309
Ghana,GHA,2011,,,,,283703,300765
Ghana,GHA,2012,,,,,345681,313782
Ghana,GHA,2013,473527,485845,89851,41120,241632,256800
Ghana,GHA,2014,350022,335097,97113,94847,199242,214072
Ghana,GHA,2015,322560,310621,59933,61540,151839,167560
Greece,GRC,1971,,,,,11190,12365
Greece,GRC,1972,,,73050,54880,10144,11500
Greece,GRC,1973,,,69642,49125,8564,9601
Greece,GRC,1974,,,67161,47005,6693,6765
Greece,GRC,1975,,,62300,39026,10269,10525
Greece,GRC,1976,,,58245,37007,12962,14843
Greece,GRC,1977,,,47752,33140,17241,20683
Greece,GRC,1978,,,46875,40295,20178,24503
Greece,GRC,1979,,,43692,38092,22545,26214
Greece,GRC,1980,,,31324,10215,25994,28091
Greece,GRC,1981,,,,,11756,16238
Greece,GRC,1982,,,22711,21227,6757,9752
Greece,GRC,1984,,,19310,20865,,
Greece,GRC,1985,,,14256,15787,,
Greece,GRC,1986,,,10332,10802,,
Greece,GRC,1987,,,4657,5063,10181,14902
Greece,GRC,1988,,,5616,7203,9202,14511
Greece,GRC,1989,,,6814,8637,14411,19237
Greece,GRC,1990,,,,,17953,20515
Greece,GRC,1991,,,13934,16409,17801,20327
Greece,GRC,1992,,,15070,18388,21947,27669
Greece,GRC,1993,,,,,29242,34684
Greece,GRC,1994,,,18789,9432,32562,37818
Greece,GRC,1995,,,,,26146,38299
Greece,GRC,1996,,,18010,17963,33685,40902
Greece,GRC,1997,,,12071,20989,33707,39334
Greece,GRC,1998,38423,61371,13637,21903,11429,15313
Greece,GRC,1999,38185,61707,14999,22988,10056,13084
Greece,GRC,2000,36839,62238,15763,23369,5415,7449
Greece,GRC,2001,35107,57800,12071,17452,7787,9885
Greece,GRC,2002,31194,46045,10798,13575,7700,6298
Greece,GRC,2003,36907,50041,9074,10287,7453,4662
Greece,GRC,2004,32058,40700,10414,11039,10224,2645
Greece,GRC,2005,13514,17805,9022,7793,12724,5845
Greece,GRC,2006,15992,15796,10810,8492,13799,6279
Greece,GRC,2007,24433,25649,15917,6836,11357,5401
Greece,GRC,2010,13150,10120,4426,148,6934,2533
Greece,GRC,2011,,,,,8330,4636
Greece,GRC,2012,,,,,8394,5341
Greece,GRC,2013,8913,7743,2741,73,10292,7882
Grenada,GRD,1972,,,,,1845,1962
Grenada,GRD,1977,,,,,197,200
Grenada,GRD,1980,,,,,479,199
Grenada,GRD,1981,,,,,769,713
Grenada,GRD,1982,,,,,1013,986
Grenada,GRD,1983,,,,,997,995
Grenada,GRD,1984,,,,,766,812
Grenada,GRD,2002,,,267,419,359,242
Grenada,GRD,2003,290,488,978,689,,
Grenada,GRD,2004,404,678,407,289,105,120
Grenada,GRD,2005,655,707,534,298,629,757
Grenada,GRD,2007,,,,,423,515
Grenada,GRD,2008,,,,,240,346
Grenada,GRD,2009,,,,,49,293
Grenada,GRD,2013,611,432,197,345,97,105
Grenada,GRD,2014,394,488,304,177,170,168
Guatemala,GTM,1970,,,,,234564,204456
Guatemala,GTM,1971,,,,,238968,206097
Guatemala,GTM,1972,,,146757,134440,244506,210859
Guatemala,GTM,1974,,,151755,137001,253289,220519
Guatemala,GTM,1975,,,155384,142050,255733,220893
Guatemala,GTM,1978,,,,,266492,229185
Guatemala,GTM,1981,,,,,261774,218434
Guatemala,GTM,1982,,,,,283406,250073
Guatemala,GTM,1983,,,,,273073,231515
Guatemala,GTM,1997,,,,,279310,215863
Guatemala,GTM,1999,210700,193395,227744,163001,194429,133266
Guatemala,GTM,2000,199278,190305,214687,161248,167206,113586
Guatemala,GTM,2001,195289,188195,192032,138717,175653,124692
Guatemala,GTM,2002,190349,181068,188659,132846,142285,98901
Guatemala,GTM,2004,,,,,98731,60541
Guatemala,GTM,2005,,,,,83829,49673
Guatemala,GTM,2006,,,,,69791,38133
Guatemala,GTM,2007,,,,,57743,31046
Guatemala,GTM,2008,190989,183804,160468,115628,56642,33693
Guatemala,GTM,2009,198119,188530,147101,107412,17472,3282
Guatemala,GTM,2010,190225,177190,115384,71503,16658,12990
Guatemala,GTM,2011,192668,179850,138570,97025,38395,38277
Guatemala,GTM,2012,185043,167661,163159,123885,72099,72196
Guatemala,GTM,2013,191869,172714,167738,125246,101212,102283
Guatemala,GTM,2014,199015,182450,168582,128444,127722,129803
Guinea,GIN,1984,,,,,293172,219945
Guinea,GIN,1985,,,,,297943,210644
Guinea,GIN,1986,,,141595,111826,312250,230751
Guinea,GIN,1987,,,,,329653,250442
Guinea,GIN,1988,,,,,338735,256068
Guinea,GIN,1989,,,160775,122637,352252,269342
Guinea,GIN,1990,,,169147,129256,370409,288116
Guinea,GIN,1991,,,,,380733,292592
Guinea,GIN,1998,,,,,456041,344782
Guinea,GIN,1999,231690,198218,311075,221878,447066,339596
Guinea,GIN,2000,,,,,428539,331543
Guinea,GIN,2001,235964,194096,308694,218837,409802,315582
Guinea,GIN,2002,237166,191048,299427,205570,368221,265873
Guinea,GIN,2003,235456,188476,297716,210453,347189,248033
Guinea,GIN,2004,241281,191529,292241,204487,328789,232483
Guinea,GIN,2005,237683,185799,281260,195159,315672,226163
Guinea,GIN,2006,237498,181910,277330,196393,299962,218583
Guinea,GIN,2007,,,,,290887,210444
Guinea,GIN,2008,,,,,307667,225658
Guinea,GIN,2009,,,,,306622,221954
Guinea,GIN,2010,,,,,305808,200413
Guinea,GIN,2011,266214,215003,307213,226683,271472,179229
Guinea,GIN,2012,,,,,284518,189470
Guinea,GIN,2013,,,,,284935,184942
Guinea,GIN,2014,280536,226419,326834,240193,260689,155943
Guinea-Bissau,GNB,1981,,,21779,12988,45011,27288
Guinea-Bissau,GNB,1982,,,25825,22744,43332,20084
Guinea-Bissau,GNB,1984,,,26616,23903,45840,24156
Guinea-Bissau,GNB,1985,,,,,46706,25398
Guinea-Bissau,GNB,1987,,,,,52423,35519
Guinea-Bissau,GNB,1988,,,,,54922,37928
Guinea-Bissau,GNB,2000,22868,17583,30403,19198,64302,47076
Guinea-Bissau,GNB,2010,,,,,39845,35657
Guyana,GUY,1971,,,3735,3044,10379,9863
Guyana,GUY,1972,,,,,10136,9632
Guyana,GUY,1974,,,,,6795,6878
Guyana,GUY,1976,,,,,6022,5488
Guyana,GUY,1977,,,,,1991,692
Guyana,GUY,1979,,,,,4379,2700
Guyana,GUY,1982,,,,,8521,4595
Guyana,GUY,1995,,,,,3550,1765
Guyana,GUY,1996,,,,,3934,5009
Guyana,GUY,2003,,,,,6944,1669
Guyana,GUY,2008,,,,,6531,6210
Guyana,GUY,2009,6019,5236,4532,3063,10630,9717
Guyana,GUY,2010,,,,,9754,8067
Guyana,GUY,2011,3970,4566,3687,3000,9207,6818
Guyana,GUY,2012,,,,,9098,7458
Haiti,HTI,1981,,,,,270910,272600
Haiti,HTI,1982,,,,,255628,247422
Haiti,HTI,1983,,,,,239484,235148
Haiti,HTI,1984,,,,,261049,255804
Haiti,HTI,1985,,,,,248446,235717
Haiti,HTI,1986,,,,,242770,235835
Haiti,HTI,1987,,,,,289237,294552
Haiti,HTI,1997,,,,,280430,283130
Heavily indebted poor countries (HIPC),,1972,,,,,13192153,10523679
Heavily indebted poor countries (HIPC),,1973,,,,,13332703,10659414
Heavily indebted poor countries (HIPC),,1974,,,,,13525996,10854581
Heavily indebted poor countries (HIPC),,1975,,,,,13417406,10778072
Heavily indebted poor countries (HIPC),,1976,,,,,13305903,10672030
Heavily indebted poor countries (HIPC),,1977,,,,,13220270,10589551
Heavily indebted poor countries (HIPC),,1978,,,,,13242677,10581318
Heavily indebted poor countries (HIPC),,1979,,,,,13290744,10622520
Heavily indebted poor countries (HIPC),,1980,,,,,13149295,10514745
Heavily indebted poor countries (HIPC),,1981,,,,,13150628,10523786
Heavily indebted poor countries (HIPC),,1982,,,,,13674951,10948975
Heavily indebted poor countries (HIPC),,1983,,,,,13864682,11064796
Heavily indebted poor countries (HIPC),,1984,,,,,14308232,11438450
Heavily indebted poor countries (HIPC),,1985,,,,,14739629,11797742
Heavily indebted poor countries (HIPC),,1986,,,,,15065276,12159977
Heavily indebted poor countries (HIPC),,1987,,,,,15794736,12775672
Heavily indebted poor countries (HIPC),,1988,,,,,16235425,13244215
Heavily indebted poor countries (HIPC),,1989,,,,,17036988,13968791
Heavily indebted poor countries (HIPC),,1990,,,,,17838688,14724884
Heavily indebted poor countries (HIPC),,1991,,,,,17834988,14848907
Heavily indebted poor countries (HIPC),,1992,,,8256688,6355916,18577686,15641994
Heavily indebted poor countries (HIPC),,1993,,,8507372,6485700,19173028,16240046
Heavily indebted poor countries (HIPC),,1994,,,8902537,6761775,19390436,16436659
Heavily indebted poor countries (HIPC),,1995,,,8986978,6794871,19346824,16109945
Heavily indebted poor countries (HIPC),,1996,,,9243315,6957414,19925648,16444059
Heavily indebted poor countries (HIPC),,1997,,,9447530,7053363,19471004,15911974
Heavily indebted poor countries (HIPC),,1998,,,10929828,8111905,19876148,16355590
Heavily indebted poor countries (HIPC),,1999,11218263,9852686,11185488,8229980,20214608,16987284
Heavily indebted poor countries (HIPC),,2000,11469577,10159830,11298623,8262550,19995636,16652506
Heavily indebted poor countries (HIPC),,2001,11733694,10331072,11425100,8272799,19369948,16067869
Heavily indebted poor countries (HIPC),,2002,11957758,10452791,10968257,7975267,18355650,15102073
Heavily indebted poor countries (HIPC),,2003,12161841,10694474,10739369,7941146,17543776,14366976
Heavily indebted poor countries (HIPC),,2004,12332571,10809162,10641224,7934919,16765111,13809980
Heavily indebted poor countries (HIPC),,2005,12519027,10898798,10633683,7949232,16032079,12958715
Heavily indebted poor countries (HIPC),,2006,12566282,10945354,10365536,7879387,15234759,12316808
Heavily indebted poor countries (HIPC),,2007,12531638,10903549,10327614,7844406,14710203,11734846
Heavily indebted poor countries (HIPC),,2008,12537456,10848434,10076014,7782735,13463049,10551370
Heavily indebted poor countries (HIPC),,2009,12614101,10974596,10041965,7945143,13659335,10895082
Heavily indebted poor countries (HIPC),,2010,12898969,11257905,10000013,7989624,13955730,11311378
Heavily indebted poor countries (HIPC),,2011,13183768,11601031,10442247,8415263,13491663,10869221
Heavily indebted poor countries (HIPC),,2012,13422254,11900735,10577227,8494853,12991835,10683754
Heavily indebted poor countries (HIPC),,2013,13895219,12397778,11161917,9119884,12623940,10311524
Heavily indebted poor countries (HIPC),,2014,13858110,12307175,11013438,9074824,12418911,10169141
High income,,1971,,,,,3516730,4421306
High income,,1972,,,,,3522907,4450256
High income,,1973,,,,,3380356,4202176
High income,,1974,,,,,3493924,4295834
High income,,1975,,,,,3333068,4115310
High income,,1976,,,,,3052028,3777206
High income,,1977,,,,,2992319,3668663
High income,,1978,,,,,2882725,3487207
High income,,1979,,,,,2842227,3422755
High income,,1980,,,,,2109817,2358938
High income,,1981,,,,,2124362,2360290
High income,,1982,,,,,1943450,2107251
High income,,1983,,,,,2142194,2360599
High income,,1984,,,,,2270241,2517805
High income,,1985,,,,,2247404,2497867
High income,,1986,,,884899,877870,2022236,2204283
High income,,1987,,,956240,1014608,1787486,1959346
High income,,1988,,,735897,693024,1673217,1815087
High income,,1989,,,848890,837760,1622152,1715101
High income,,1990,,,721848,689553,1572117,1645236
High income,,1991,,,763986,749269,1646474,1648734
High income,,1992,,,819474,813985,1865343,1857374
High income,,1993,,,714163,691069,1991646,1927594
High income,,1994,,,658033,605188,1999682,1965706
High income,,1995,,,655223,632462,1840996,1773741
High income,,1996,,,646445,538144,1781201,1761673
High income,,1997,,,733950,690878,1514287,1552849
High income,,1998,3100585,3569628,794943,783639,1221229,1282915
High income,,1999,2946045,3380384,834132,866579,1114388,1201137
High income,,2000,3019340,3370524,631769,617380,1080105,1133143
High income,,2001,2713156,3332497,544482,538675,1033336,1220851
High income,,2002,2788016,3218247,614697,707580,1187539,1393580
High income,,2003,2425368,2959921,561399,579089,1257717,1430778
High income,,2004,2325715,2846889,544774,586611,1371737,1586037
High income,,2005,1877276,2688672,462440,408190,1255388,1454253
High income,,2006,1839244,2639036,405958,351473,1066369,1315676
High income,,2007,1822074,2410624,513666,477853,951503,1127216
High income,,2008,1761365,2234330,549509,505254,867984,994962
High income,,2009,1699037,2217903,460067,412969,933049,1230572
High income,,2010,1912217,2199360,463566,568947,1027964,1196143
High income,,2011,1893022,2310450,495471,484769,1087380,1370999
High income,,2012,1953475,2284257,494913,513793,1087404,1202748
High income,,2013,1705151,2008879,392441,373634,1300312,1303201
High income,,2014,1418019,1720481,,,1104028,1205673
Honduras,HND,1979,,,,,70352,74227
Honduras,HND,1980,,,,,69874,73208
Honduras,HND,1982,,,,,38584,39553
Honduras,HND,1983,,,,,31797,36695
Honduras,HND,1984,,,,,28074,34727
Honduras,HND,1986,,,,,26665,42048
Honduras,HND,1991,,,,,47550,53567
Honduras,HND,1993,,,,,44832,50649
Honduras,HND,2000,,,,,55703,61783
Honduras,HND,2003,,,,,31942,43498
Honduras,HND,2004,,,,,20888,33161
Honduras,HND,2005,,,,,42452,54462
Honduras,HND,2006,,,,,15701,26433
Honduras,HND,2007,,,,,39136,48281
Honduras,HND,2008,,,,,15958,26184
Honduras,HND,2009,,,,,13648,23264
Honduras,HND,2010,,,,,16229,26873
Honduras,HND,2011,,,,,10431,16612
Honduras,HND,2012,,,,,11111,17604
Honduras,HND,2013,79579,95409,59747,69077,24762,32378
Honduras,HND,2014,78870,93375,69742,78533,25029,28927
Hong Kong,HKG,1971,,,,,42736,43952
Hong Kong,HKG,1972,,,,,39312,39011
Hong Kong,HKG,1973,,,,,39901,39023
Hong Kong,HKG,1974,,,,,37273,34572
Hong Kong,HKG,1975,,,,,34619,31108
Hong Kong,HKG,1976,,,,,32959,31104
Hong Kong,HKG,1977,,,75392,65873,29790,30670
Hong Kong,HKG,1978,,,73010,70734,29102,30724
Hong Kong,HKG,1979,,,64701,70765,25466,26649
Hong Kong,HKG,1980,,,59562,69120,13960,12114
Hong Kong,HKG,1981,,,46258,58896,13553,10498
Hong Kong,HKG,1982,,,,,13633,12307
Hong Kong,HKG,1983,,,27266,42160,11514,10864
Hong Kong,HKG,1984,,,21574,35189,9307,8963
Hong Kong,HKG,1985,,,17640,28984,7924,8341
Hong Kong,HKG,1995,,,,,17232,21296
Hong Kong,HKG,1996,,,18291,20894,17601,17263
Hong Kong,HKG,2001,67696,70902,13549,12080,,
Hong Kong,HKG,2002,71587,72267,10777,9056,,
Hong Kong,HKG,2003,66049,65191,9320,8773,,
Hong Kong,HKG,2004,61677,61331,10624,10746,,
Hong Kong,HKG,2005,55950,56950,13438,13562,,
Hong Kong,HKG,2006,54283,56217,14352,13939,,
Hong Kong,HKG,2007,54359,55056,10965,9947,,
Hong Kong,HKG,2008,56503,58730,6918,5576,,
Hong Kong,HKG,2009,55497,57671,2586,1582,,
Hong Kong,HKG,2010,39590,40952,,,,
Hong Kong,HKG,2011,40858,42827,2872,1966,,
Hong Kong,HKG,2012,10495,11973,6763,5042,2097,519
Hong Kong,HKG,2013,10483,11173,7758,5951,1812,470
Hong Kong,HKG,2014,13799,13656,4601,3095,1329,584
Hungary,HUN,1996,,,,,55009,51966
Hungary,HUN,1997,,,5887,2939,33516,31303
Hungary,HUN,1998,72884,81423,4311,3091,9417,10674
Hungary,HUN,1999,50520,58585,4410,3382,9317,10031
Hungary,HUN,2000,41072,46014,6530,5125,7903,8917
Hungary,HUN,2001,31952,36343,4507,3554,6725,7992
Hungary,HUN,2002,27490,30095,1538,1033,6378,7709
Hungary,HUN,2003,24392,27055,,,9186,9984
Hungary,HUN,2004,32452,30301,,,9736,10618
Hungary,HUN,2005,28674,29191,,,8200,8105
Hungary,HUN,2006,26906,28600,1227,638,6465,6928
Hungary,HUN,2007,24482,25576,3724,3404,6617,6925
Hungary,HUN,2008,22933,22828,3462,2324,3932,4317
Hungary,HUN,2009,21836,22532,3724,2306,2160,3242
Hungary,HUN,2010,17737,17663,3932,3623,2322,3550
Hungary,HUN,2011,17613,17610,3243,1967,3832,4721
Hungary,HUN,2012,16392,16125,2654,1941,5781,6801
Hungary,HUN,2013,14309,14003,2666,2246,7386,7746
Hungary,HUN,2014,15242,16181,2982,2344,7737,8208
Iceland,ISL,1994,,,,,386,380
Iceland,ISL,1996,,,,,225,362
Iceland,ISL,1997,,,,,196,319
Iceland,ISL,1998,1790,2145,113,29,188,121
Iceland,ISL,1999,1709,2183,270,469,,
Iceland,ISL,2000,1749,2330,440,606,,
Iceland,ISL,2001,1888,2418,433,476,,
Iceland,ISL,2002,1773,2513,,,,
Iceland,ISL,2003,1762,2562,,,,
Iceland,ISL,2004,1873,2411,,,488,192
Iceland,ISL,2005,1645,2103,,,499,163
Iceland,ISL,2006,1489,1987,,,393,241
Iceland,ISL,2007,1292,1849,50,52,256,343
Iceland,ISL,2008,1404,1836,,,165,251
Iceland,ISL,2009,1519,1950,84,151,100,164
Iceland,ISL,2010,1266,1679,189,142,153,248
